154	538	421	351	-0.700374531835	645.857677903
423	353	443	337	-0.8	691.4
233	494	369	395	-0.727941176471	663.610294118
393	370	432	342	-0.717948717949	652.153846154
363	398	428	350	-0.738461538462	666.061538462
189	527	268	469	-0.73417721519	665.759493671
288	445	391	373	-0.699029126214	646.32038835
175	538	201	519	-0.730769230769	665.884615385
172	525	275	453	-0.699029126214	645.233009709
-0.727525629234	660.253429305


606	393	648	419	0.619047619048	17.8571428571
612	391	656	416	0.568181818182	43.2727272727
548	355	556	360	0.625	12.5
525	342	528	344	0.666666666667	-8.0
492	323	505	330	0.538461538462	58.0769230769
550	354	563	361	0.538461538462	57.8461538462
508	328	516	333	0.625	10.5
617	399	650	419	0.606060606061	25.0606060606
496	322	507	328	0.545454545455	51.4545454545
0.592481592482	29.8408998409


