162	537	202	508	-0.725	654.45
236	494	460	325	-0.754464285714	672.053571429
159	539	375	382	-0.726851851852	654.569444444
218	508	304	443	-0.755813953488	672.76744186
283	449	409	358	-0.722222222222	653.388888889
381	379	457	324	-0.723684210526	654.723684211
178	538	249	485	-0.746478873239	670.873239437
180	538	226	503	-0.760869565217	674.956521739
-0.739423120282	663.472849001


723	452	749	467	0.576923076923	34.8846153846
756	470	865	533	0.577981651376	33.0458715596
786	499	847	536	0.606557377049	22.2459016393
700	447	752	479	0.615384615385	16.2307692308
700	446	783	497	0.614457831325	15.8795180723
758	472	794	493	0.583333333333	29.8333333333
711	445	757	470	0.54347826087	58.5869565217
799	494	804	497	0.6	14.6
500	323	524	336	0.541666666667	52.1666666667
572	363	591	374	0.578947368421	31.8421052632
569	364	587	376	0.666666666667	-15.3333333333
804	509	835	528	0.612903225806	16.2258064516
0.593191672819	25.8506842325


